species,n_rows,n_FL,n_width,n_weight,FL_mean_mm,width_mean_mm,weight_mean_g
Rudd,258,258,258,258,244.85658914728683,33.007751937984494,416.38178294573646
Goldfish,113,17,17,17,270.5882352941176,59.11764705882353,359
