Bin,Count,N_total,Percent
100–200,1135,1675,67.76119402985074
201–300,223,1675,13.313432835820896
301–375,101,1675,6.029850746268656
376–450,155,1675,9.253731343283581
>450,42,1675,2.5074626865671643
NA,19,1675,1.1343283582089552
