Date,transect,obs,FL_mm,TL_mm,width_mm,height_mm,weight_g,PIT_ID,health,colour,notes,ID
14/04/2025,WS3,13,294,323,54,107,680,998461D6,,gold,,80
14/04/2025,WS3,17-19,291,374,58,106,670,998550EF,,gold,,45
14/04/2025,WS3,17-19,268,302,54,106,550,,missing tail,gold,,48
14/04/2025,WS3,13,274,303,59,105,500,99846173,,gold,,85
22/04/2025,CS,26-30,291,323,59,105,380,,,NA,,169
14/04/2025,ES3,52-56,266,292,58,104,7100,,,gold,,29
14/04/2025,ES2,45,263,287,51,104,510,,,NA,,42
9/4/2025,CS1,5,275,301,55,104,550,99846159,5,orange,Orange with black,141
28/04/2025,CS,89-97,283,318,47,104,490,,,gold,,177
9/4/2025,CS1,5,300,324,57,103,600,9988551C,5,gold,,130
22/04/2025,WS,66-67,264,290,62,103,720,,,gold,,161
14/04/2025,ES3,50-51,287,314,50,101,530,,scales,gold,,9
14/04/2025,WS3,17-19,299,335,52,101,630,,,orange,orange with white,47
22/04/2025,CS,76,295,320,63,101,790,,,gold,,164
22/04/2025,CS,26-30,261,292,52,101,460,,,NA,,170
14/04/2025,ES2,45,295,328,47,100,530,,,NA,scales,38
28/04/2025,CS,89-97,262,289,50,99,520,,,gold,,179
14/04/2025,ES2,46,278,303,46,98,530,,,gold,,33
14/04/2025,ES2,45,259,287,49,98,430,,,NA,,40
14/04/2025,ES3,50-51,260,280,45,97,420,,,gold,,10
14/04/2025,ES2,43-44,268,293,47,97,650,,,gold,,15
14/04/2025,ES2,45,235,262,41,95,340,,,NA,,37
14/04/2025,ES3,50-51,255,272,46,94,410,,,gold,,2
14/04/2025,WS3,13,273,298,50,94,410,99846050,,gold,,83
22/04/2025,CS,78,235,245,54,93,360,58708,,gold,,167
22/04/2025,CS,78,231,251,47,92,320,58649,,gold,,166
22/04/2025,CS,79-83,238,259,55,92,360,58687,,NA,,171
22/04/2025,CS,26-30,252,277,49,91,380,,,NA,,168
14/04/2025,WS3,13,232,254,44,84,327,9984618D,,gold,,89
28/04/2025,CS,89-97,214,233,39,82,260,363008,,gold,,180
22/04/2025,CS,84-87,226,210,42,81,250,58724,,gold,,174
23/04/2025,ES,31-34,210,226,54,81,250,58724,,gold,,175
28/04/2025,CS,98-103,204,225,35,77,200,362929,,gold,,183
14/04/2025,ES3,50-51,209,227,37,76,211,9989615F,,gold,,7
22/04/2025,CS,79-83,209,229,50,76,240,58664,,NA,,173
28/04/2025,CS,89-97,189,211,34,68,149,362927,scale loss,gold,,181
14/04/2025,ES2,43-44,180,196,41,64,131,998461D5,,gold,,25
9/4/2025,WS1,21,163,183,38,58,100,003DEEC728,,gold,,124
14/04/2025,ES2,43-44,147,163,35,50,69,998460AB,,gold,,24
22/04/2025,CS,79-83,139,151,24,49,,58667,,gold,,172
28/04/2025,CS,98-103,133,149,33,48,47,362955,,NA,,182
14/04/2025,ES2,46,130,143,22,47,50,998460FF,,gold,,34
14/04/2025,ES2,43-44,130,143,21,42,48,998460 E3,,gold,,23
28/04/2025,WS,104-115,112,124,14,36,25,362922,,gold,,184
14/04/2025,ES2,46,81,90,12,25,9,998461BA,,gold,,30
14/04/2025,ES3,50-51,75,82,9,23,7,99855773,,gold,,1
14/04/2025,WS3,7 - 011,80,88,11,23,7,9985508B,,gold,,96
